pH,EC,N,Zn,K,S,Fe,P,OC,Cu,Mn,B
7.92,0.79,91,0.52,247,20.0,7.82,16.41,9.051508840451962,2.305558553663071,6.421333083194193,0.9324396198696385
7.37,1.29,215,1.28,405,11.55,3.77,24.11,22.822071923196997,1.1083845660202176,15.796098425686687,0.2138447559013392
7.31,0.43,361,0.56,537,20.58,4.89,22.57,17.594655209292583,2.038191352747549,13.061301613418419,1.743083221872803
7.04,0.63,232,0.38,355,10.77,3.6,14.36,14.407937772309173,2.4206683851139066,0.6698516279025915,0.7246185323619581
7.44,0.33,190,1.16,332,18.61,8.3,22.06,3.8288455065742326,2.8066310110747965,24.598298128264187,1.1275879880631887
8.04,1.14,102,0.76,288,12.94,5.37,63.09,3.828269036035243,0.7775012998364789,2.2428280460579852,0.2824030419107775
7.71,0.41,270,0.34,485,32.67,3.84,18.47,1.488198330819967,1.259995633321273,14.759737597978097,0.46617057302204906
7.28,1.95,183,0.12,642,30.86,10.84,20.01,20.80160988402095,0.536578919058123,17.429352530664165,0.8824171699685288
7.45,2.9,270,0.34,715,13.7,3.7,35.39,14.46664878066269,2.9979766613240395,19.522093244824596,0.30773622154603364
7.32,0.67,271,1.18,781,12.67,4.96,22.57,17.02293460932549,2.806112836018185,21.381831029320278,2.57388049053423
8.68,1.29,301,0.25,413,21.29,7.56,23.08,0.5919694136696785,1.6720743917220398,7.933583927016669,0.07668983918778043
7.87,1.79,157,1.08,510,30.97,6.25,48.73,23.280845466671664,2.557157552522914,0.4182444109795011,1.3954542040654994
8.59,0.66,193,0.65,208,30.43,12.76,21.03,19.99537911513008,1.6164068734070838,22.45717473014323,0.400162984445842
7.73,0.98,300,0.12,169,26.9,5.92,36.93,5.1749047452107995,1.917106065848086,16.656432353846704,0.9091942869591378
7.37,0.55,210,0.52,187,20.41,7.72,71.81,4.445616716249704,0.35113458609992865,25.937675852071916,2.6159243850984124
7.76,0.79,101,0.56,233,29.4,3.49,30.26,4.483367785497068,2.3029423320556472,25.482686530002447,0.5062769670362037
7.45,1.28,270,0.36,211,19.8,4.38,75.41,7.371389606732951,0.46420050705123805,26.16034532296771,2.725697202422598
7.84,0.63,229,0.32,860,26.22,9.36,22.06,12.641678716010484,2.5103781566399084,15.094574046767995,0.6279924804908039
8.07,1.92,86,0.84,473,35.54,4.03,38.47,10.423485945546565,2.3813422968742306,10.41578114740078,2.1067224593684495
8.88,1.33,179,0.32,341,26.1,11.19,17.44,7.060376450733201,2.166621964386921,24.56123287804742,1.5688292511165802
8.24,0.76,149,1.4,518,20.89,5.04,75.92,14.723284183864868,0.19594991493755298,14.050475151473684,2.5011612881670553
8.06,0.73,337,0.62,532,31.07,5.52,18.47,3.4339032695837997,0.9781660829198129,5.776529446902092,1.5890213851886414
7.22,0.26,246,0.24,626,13.53,8.16,28.73,7.082257099991713,0.8609198298387696,26.52014746425394,1.5353834448714119
8.01,0.38,353,1.06,212,24.49,6.05,25.14,8.856048054719231,1.145199673891551,27.372274593497806,0.5994640810167837
7.78,0.62,378,0.86,323,12.05,4.9,89.77,11.000072622787158,0.3467932480180469,14.514308367169855,0.518793039262578
7.3,0.81,274,0.3,349,22.65,5.8,44.63,18.865705477293027,2.835286421481014,2.4483645765993347,2.589510057078819
7.76,0.66,296,1.41,359,15.51,5.02,57.45,4.8722033935847975,1.7126405652872627,12.089947917534005,0.964833428826094
7.44,0.64,303,0.6,574,12.79,6.17,34.88,12.390203078085316,0.985186230228009,24.931278300799818,1.0869470236975927
7.09,0.85,361,1.1,702,19.14,11.02,57.96,14.258708195802814,1.2531558450276505,27.965799741793003,2.157113297262352
7.63,0.65,289,0.36,235,24.37,7.54,74.89,1.2101648640079457,1.4003034436791686,6.395273015750736,0.9951528114869481
7.74,0.3,401,0.4,348,17.87,6.78,64.63,14.620321960444375,1.8497413967466088,2.1788148754606373,2.6876923527236474
7.78,0.78,318,0.32,409,23.76,4.08,36.93,4.175526556126267,1.6009407231507387,27.211355497273384,2.096680642436689
