,N,P,K,pH,EC,OC,S,Zn,Fe,Cu,Mn,B
0,138,8.6,560,7.46,0.62,0.7,5.9,0.24,0.31,0.77,8.71,0.11
1,213,7.5,338,7.62,0.75,1.06,25.4,0.3,0.86,1.54,2.89,2.29
2,163,9.6,718,7.59,0.51,1.11,14.3,0.3,0.86,1.57,2.7,2.03
3,157,6.8,475,7.64,0.58,0.94,26.0,0.34,0.54,1.53,2.65,1.82
4,270,9.9,444,7.63,0.4,0.86,11.8,0.25,0.76,1.69,2.43,2.26
5,220,8.6,444,7.43,0.65,0.72,11.7,0.37,0.66,0.9,2.19,1.82
6,220,7.2,222,7.62,0.43,0.81,7.4,0.34,0.69,1.05,2.0,1.88
7,207,7,401,7.63,0.59,0.69,7.6,0.32,0.68,0.62,2.43,1.68
8,333,14.9,422,8.26,0.48,,8.45,0.51,3.32,1.08,9.21,0.32
9,289,8.6,560,7.58,0.44,0.67,7.3,0.63,0.66,0.94,2.43,1.79
10,138,8.1,739,7.55,0.33,0.78,9.0,0.69,0.41,1.15,2.75,2.0
11,151,8.1,549,7.59,0.45,0.97,9.6,0.71,0.38,1.33,2.79,2.41
12,144,7.2,306,7.53,0.73,0.89,9.2,0.63,0.47,1.03,2.79,2.38
13,138,5.3,444,7.68,0.6,0.78,9.7,0.73,0.36,1.32,3.32,2.12
14,144,8.3,549,7.45,0.53,0.81,10.2,0.51,0.56,1.26,2.9,2.29
15,201,7.7,676,7.39,0.77,0.72,9.7,0.58,0.47,1.02,3.77,2.56
16,182,?,718,7.47,0.34,0.67,10.6,0.77,0.41,1.28,3.04,2.79
17,238,7.5,771,7.38,0.88,0.75,11.0,0.46,0.38,1.16,2.96,1.32
18,270,8.1,655,7.45,0.55,0.67,10.2,0.28,0.44,1.26,7.75,2.56
19,213,6.1,803,7.38,0.78,0.61,10.5,0.3,0.49,0.66,7.74,1.85
20,245,8.1,560,7.31,0.63,0.78,11.6,0.29,0.43,0.57,7.73,0.74
21,282,8.3,454,7.43,0.62,0.75,11.0,0.32,0.5,0.81,4.99,2.65
22,213,8.3,676,7.36,0.51,0.69,23.6,0.28,0.93,1.04,2.17,1.97
23,207,9.4,127,7.62,0.68,0.75,27.2,0.28,0.72,1.04,2.43,0.94
24,307,8.3,11,7.49,0.84,0.69,15.8,0.26,0.57,0.73,2.13,2.47
25,207,7.2,496,7.55,0.61,0.64,26.2,0.24,0.47,1.15,1.99,1.94
26,201,5.5,359,7.44,0.76,0.78,26.0,0.18,0.83,0.71,2.24,1.91
27,364,7.5,507,7.63,0.52,0.69,14.6,0.23,1.19,0.39,2.16,2.82
28,220,8.3,560,7.42,0.63,0.61,15.8,0.19,1.08,0.34,1.77,0.74
29,245,8.3,560,7.58,0.74,0.83,8.2,0.32,0.96,1.57,2.67,0.59
30,207,7.7,676,7.41,0.42,1.0,15.0,0.27,0.92,1.43,3.12,1.85
31,276,8.3,401,7.34,0.53,0.72,14.8,0.28,0.57,1.34,2.15,2.18
32,207,5,560,7.4,0.84,0.67,25.4,0.27,0.46,1.53,2.43,2.12
33,245,5.7,465,7.29,0.63,0.61,22.4,0.25,0.44,1.24,2.11,0.74
34,169,?,549,8.23,0.58,0.56,21.0,0.2,0.38,1.15,3.01,2.0
35,182,5,560,7.62,0.52,0.47,22.4,0.73,0.46,1.14,2.72,1.97
36,220,8.3,760,7.48,0.59,0.67,24.0,0.83,0.37,1.99,3.84,0.88
37,138,5.7,401,7.42,0.72,0.78,26.0,0.37,0.32,1.34,3.77,2.0
38,238,8.3,697,7.59,0.43,0.83,25.4,0.45,0.43,1.43,2.65,2.29
39,151,8.1,517,7.46,0.43,0.86,16.0,0.36,0.38,1.92,2.88,0.59
40,207,7.9,612,7.44,0.55,1.0,14.6,0.45,0.47,1.47,3.16,1.88
