District,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
Angul,10.4,12.8,17.3,27.4,63.7,197.6,329.6,336.7,216.8,89.2,8.2,6.6,1326.7
Balasore,12.7,23.1,33.8,60.6,144.6,206.5,346.8,316.1,250.9,100.8,8.3,7.4,1512.7
Baragarh,9.1,10.9,10.3,13.4,27.1,203.6,361.3,368.2,205.1,43.6,13.3,7.3,1270.3
Bhadrak,10.2,16.1,24.1,51.6,117.3,215.3,282.7,312.0,215.3,169.9,3.4,3.4,1439.5
Bolangir,7.8,9.7,9.5,16.1,34.3,182.1,362.1,362.0,205.8,50.5,8.8,5.9,1251.6
Boudh,11.9,13.6,21.8,28.1,61.4,211.2,247.8,285.5,166.1,73.9,6.9,3.2,1127.4
Cuttack,9.8,15.9,21.0,32.2,101.1,203.9,347.6,370.7,269.6,259.1,8.0,6.3,1566.1
Deogarh,13.3,16.5,14.0,22.1,49.0,202.7,350.9,360.3,235.7,160.7,15.1,7.7,1447.2
Dhenkanal,12.6,16.0,15.9,35.6,88.8,204.4,339.3,344.2,290.9,122.1,6.6,7.1,1484.1
Gajapati,6.2,9.5,22.4,28.9,62.9,195.0,284.9,240.5,285.1,108.6,4.0,2.4,1250.4
Ganjam,9.4,16.2,21.5,34.8,82.6,168.7,236.8,260.5,221.4,187.9,62.5,8.7,1311.0
Jagatsinghpur,7.7,11.4,13.8,26.0,99.4,171.2,304.5,336.4,262.7,175.9,5.4,4.7,1273.3
Jajpur,9.3,16.8,24.2,49.0,123.3,232.9,319.6,358.1,278.2,159.8,3.3,3.9,1608.2
Jharsuguda,11.3,14.0,13.8,14.8,29.9,205.0,362.7,395.0,233.3,52.6,11.2,9.6,1353.2
Kalahandi,6.5,7.4,10.8,21.4,51.8,237.8,452.8,461.2,306.5,223.8,7.0,7.3,1794.3
Kandhamal,13.6,14.8,24.4,48.1,83.4,216.8,371.9,395.9,279.8,178.0,5.8,8.2,1640.6
Kendrapada,5.8,11.6,23.6,22.6,20.1,197.7,293.9,275.1,205.8,59.4,4.7,3.9,1124.2
Keonjhar,11.7,17.5,18.6,45.9,97.3,229.5,293.0,320.9,229.0,110.0,8.7,5.9,1399.3
Khurda,9.1,14.5,17.5,31.6,88.8,178.7,314.0,320.1,241.1,171.0,4.7,4.4,1433.5
Koraput,13.3,19.1,25.5,41.8,84.7,287.9,299.5,256.3,237.9,201.9,17.5,5.5,1490.9
Malkangiri,2.0,2.3,6.1,21.6,42.3,216.2,440.3,451.0,252.1,208.6,5.8,5.4,1571.0
Mayurbhanj,13.9,18.0,26.7,57.6,116.2,256.1,360.4,334.2,202.2,194.6,10.5,8.0,1522.7
Nawarangpur,7.6,8.7,14.4,42.2,66.9,244.8,406.9,426.9,272.2,78.5,19.4,7.2,1598.6
Nayagarh,13.3,10.5,23.5,41.4,84.1,177.2,316.0,310.6,370.4,219.5,10.8,5.8,1582.0
Nuapada,6.5,6.9,10.5,18.1,34.6,177.2,310.6,300.9,193.5,53.8,11.9,7.9,1134.5
Puri,7.3,15.0,13.8,20.4,86.4,311.5,352.3,287.6,182.2,56.2,7.7,7.7,1511.3
Rayagada,7.5,9.5,23.7,47.3,84.7,177.4,304.9,302.9,205.8,120.9,25.4,7.3,1319.7
Sambalpur,11.9,24.3,34.5,14.9,32.8,191.0,399.9,152.0,290.5,205.6,19.0,13.4,1389.8
Subarnapur,9.8,10.8,8.9,12.6,36.5,200.0,392.9,250.6,210.3,130.2,13.4,13.1,1289.1
Sundargarh,12.9,12.8,11.5,17.4,41.4,204.3,352.2,357.9,212.2,57.6,11.7,10.0,1398.9
Odisha,9.3,12.9,17.5,32.7,75.0,206.1,338.3,356.0,241.4,115.0,28.0,6.4,1438.6
